Date,Carbohydrates,Fiber,Protein,Fat,Vitamin
2023-01-08,670.82,0.0,97.9,127.36
2023-01-15,618.12,5.38,20.76,27.83
2023-01-22,1204.24,8.48,167.34,232.78
2023-01-29,87.83,0.0,318.67,1542.42
2023-02-05,307.26,15.11,43.99,72.72
2023-02-12,2450.98,1.47,212.19,46.83
2023-02-19,2344.34,3.58,58.58,170.83
2023-02-26,2266.33,12.29,122.08,163.64
2023-03-05,112.14,0.08,17.2,291.07
2023-03-12,543.91,7.52,49.67,39.84
2023-03-19,1558.6,8.45,138.36,59.88
2023-03-26,436.14,11.19,59.96,141.29
2023-04-02,734.95,3.89,110.42,59.67
2023-04-09,7730.76,0.0,714.34,292.23
2023-04-16,67.0,8.5,8.02,0.85
2023-04-23,893.4,3.44,16.77,59.67
2023-04-30,311.0,0.0,406.67,359.5
2023-05-07,234.32,4.2,90.92,127.32
2023-05-14,3516.25,16.75,314.68,963.78
2023-05-21,252.83,6.8,31.16,55.79
2023-05-28,1812.62,0.0,143.77,77.13
2023-06-04,645.37,8.67,46.12,51.61
2023-06-11,205.18,6.23,19.51,78.73
2023-06-18,1051.5,2.93,48.42,14.53
2023-06-25,3429.53,0.08,98.57,61.72
2023-07-02,409.16,14.9,8.9,15.66
2023-07-09,442.57,2.73,24.75,44.76
2023-07-16,407.71,0.0,49.63,24.34
2023-07-23,1126.02,21.11,83.08,144.94
2023-07-30,1192.44,77.59,113.48,138.11
2023-08-06,1304.28,0.0,51.69,141.81
2023-08-13,1301.6,0.56,75.89,313.13
2023-08-20,1196.49,36.83,69.18,238.8
2023-08-27,2352.02,8.4,161.62,150.74
2023-09-03,1474.66,51.03,89.89,427.66
2023-09-10,1116.23,16.43,86.58,115.4
2023-09-17,2871.61,1.56,108.08,334.17
2023-09-24,3267.66,21.74,74.7,489.38
